Campaign name,Age,Gender,Reach,Impressions,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),"Cost per 1,000 people reached",Purchases,Cost per purchase,Purchases Conversion Value
,,male,,2,0.61,305,,,,,,,
FAB 10/FAB 5 Conversion- Lumos,All,All,7491,7491,184.6,24.64,0.53,40,4.62,24.64,,,
,18-24,All,3755,3755,33.4,8.89,0.32,12,2.78,8.89,,,
,,female,3755,3755,33.4,8.89,0.32,12,2.78,8.89,,,
,25-34,All,3042,3045,93.52,30.71,0.62,19,4.92,30.74,,,
,,female,3042,3045,93.52,30.71,0.62,19,4.92,30.74,,,
,35-44,All,646,654,51.9,79.36,1.38,9,5.77,80.34,,,
,,female,646,654,51.9,79.36,1.38,9,5.77,80.34,,,
,45-54,All,31,31,5.62,181.29,,,,181.29,,,
,,female,31,31,5.62,181.29,,,,181.29,,,
,13-17,All,6,6,0.16,26.67,,,,26.67,,,
,,female,6,6,0.16,26.67,,,,26.67,,,
,,,3004502,6076545,623027.04,102.5298159,1.08010391,65633,9.49258818,207.364495,,,
