Campaign name,Age,Gender,Reach,Impressions,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),"Cost per 1,000 people reached",Purchases,Cost per purchase,Purchases Conversion Value,,
,25-34,All,3304,3603,750.16,208.2,1.61,58,12.93,227.05,,,,,
,,female,3304,3603,750.16,208.2,1.61,58,12.93,227.05,,,,,
,35-44,All,1506,1655,585.42,353.73,2.72,45,13.01,388.73,,,,,
,,female,1506,1655,585.42,353.73,2.72,45,13.01,388.73,,,,,
,18-24,All,1180,1219,145.53,119.38,1.97,24,6.06,123.33,,,,,
,,female,1180,1219,145.53,119.38,1.97,24,6.06,123.33,,,,,
,45-54,All,186,202,89.02,440.69,2.97,6,14.84,478.6,,,,,
,,female,186,202,89.02,440.69,2.97,6,14.84,478.6,,,,,
,65+,All,44,54,38.15,706.48,1.85,1,38.15,867.05,,,,,
,,female,44,54,38.15,706.48,1.85,1,38.15,867.05,,,,,
,55-64,All,42,46,25.53,555,,,,607.86,,,,,
,,female,42,46,25.53,555,,,,607.86,,,,,
,13-17,All,,1,,,,,,,,,,,
,,female,,1,,,,,,,,,,,
,,,5122451,15305509,1164825.17,76.10496129,0.72986139,111709,10.42731714,227.396059,,,,,
